action,x,y,origin,button,key,micros,note,platform
# P50 on Windows, GtkBackend: find the "press me" button inside the popover by
# sweeping DOWN its centre line, now that `origin=popover` makes that possible.
#
# WHY THIS EXISTS. P50-probe-popover-centre.csv established, 2026-09-09, that a
# synthesised press DOES reach the popover: the capture-phase probe in
# GtkBackend reported both `pointer entered` and `press n=1`, and the replay's
# hitTarget was the popover's own toplevel. What it could NOT establish is
# whether the BUTTON acts, because it clicks the geometric centre and the centre
# of a 291x221 popover holding two stacked buttons may be between them.
#
# So two explanations were still alive and they look identical from outside:
#
#   A  the press reaches GTK and is lost before the button   -- our bug
#   B  the press landed between the buttons                  -- not a bug
#
# This file separates them. It clicks eight points down the centre line. If ANY
# of them produces `popover counter N` then B is the answer and #111's original
# observation was a missed coordinate from the start. If none does while the
# probe reports a press at every one of them, A is the answer and the defect is
# in GTK's propagation from the popover to its child.
#
# EIGHT, NOT FOUR -- extended 2026-09-10, and the four it had could not have
# answered the question they were written for. They ran 30, 55, 80, 105, which
# is the TOP HALF of a 221-tall popover. The panel is a VStack of six children
# (a 16pt title, three 11pt lines, then "press me", then "close this panel"),
# so BOTH buttons sit below y=105. A sweep that stops there reaches no button at
# all, and its silence would have been read as "A: the press is lost before the
# button" when the honest reading is "this sweep never went near one".
#
# That is the same defect the file's own READ THE PROBE LINES paragraph warns
# about, one level up: it guards against confusing "missed the popover" with
# "the button did not act", and then misses "never reached the button" by
# choosing a range. A coordinate range is a claim about coverage, exactly like a
# denominator, and it goes stale or starts wrong in the same way.
#
# READ THE PROBE LINES, NOT JUST THE COUNTER. A y that misses the popover
# entirely would also produce no counter, and the two must not be confused --
# that confusion is the whole history of #111. Every click below should be
# accompanied by `GtkPopover probe: press n=1 at (145.0, <y>)`. A click with no
# probe line did not land, and says nothing about the button.
#
# x=50, NOT the centre line at 145, and this cost a whole run to learn.
# `P50Panel` is a `VStack(alignment: .leading)`, so its buttons are left-aligned
# and only as wide as their own labels. "press me (0)" is short and ends well
# before x=145; "close this panel" is longer and does reach it. A sweep down the
# centre therefore hits exactly one of the two buttons -- the wrong one, since
# pressing close ends the test -- and every point over "press me" reports the
# container instead.
#
# Measured 2026-09-10 with gtk_widget_pick: at x=145, y = 120,130,140,150,160
# all returned `GtkPassthroughFixed < GtkPopoverContent < GtkPopover`, and only
# y=170 returned a `GtkButton`, which logged "closed programmatically". The
# reading that nearly followed was "press me is not reachable"; the truth was
# that the sweep was 95 points to the right of it.
#
# "Down the centre" is an assumption about layout dressed up as a method. The
# centre is only the right x for a centred stack.
#
# ORDER MATTERS: top to bottom. "close this panel" is the LOWER button and
# pressing it ends the test, so the sweep must reach "press me" first. The
# counter is cumulative, so if two of the four are on the same button the log
# shows `popover counter 1` then `popover counter 2`, which is also information:
# it says the button works and is being hit twice.
#
# expect: log-contains popover counter 1
#
# P50 於 Windows、GtkBackend:趁 `origin=popover` 已經可用,沿 popover 的中心線**由上而下**掃描,
# 找出「press me」按鈕。
#
# **本檔為何存在。** P50-probe-popover-centre.csv 已於 2026-09-09 確立:一次合成的按壓**確實**抵達
