issue,categories,backend,status,comments,opened,title
660,enhancement,WinUIBackend,fixed-p1,0,2026-07-02,WinUIBackend: Sheets have default padding
659,enhancement;feature parity,WinUIBackend,fixed-p1,0,2026-07-02,WinUIBackend: Nested sheets not supported
632,bug;layout,AndroidBackend,repro-p12,4,2026-06-10,AndroidBackend: Buttons have an unnecessary margin
595,bug;layout,core/unspecified,repro-p13,0,2026-05-27,Texts inside scrollview getting unnecessarily cut off?
580,bug,AndroidBackend,repro-p12,1,2026-05-15,[BUG] Rotating the screen on AndroidBackend resets State
556,bug;layout,GtkBackend,repro-p7,0,2026-05-06,[Bug] Gtk List NavigationSplitView makes weird size decisions
548,bug;crash,WinUIBackend,fixed-p0,0,2026-05-04,[BUG] @AppStorage crashes on Windows
544,bug,AndroidBackend,repro-p12,0,2026-05-04,AndroidBackend: Indicate toggle button state visually
523,performance,WinUIBackend,fixed-p1,1,2026-04-16,Windows File Open/Save dialog slow to appear
504,bug;layout,GtkBackend,repro-p9,0,2026-03-25,GtkBackend: TextField/SecureField shrinks in height after first update
493,bug;crash,WinUIBackend,fixed-p0,0,2026-03-17,WinUIBackend: Crashes if environment action called too early
485,bug,AppKitBackend,repro-p11,3,2026-03-11,[AppKitBackend] Scrollbar renders pointing the wrong way?
478,enhancement,GtkBackend,repro-p10,1,2026-03-09,[GtkBackend] Ctrl-Q/Cmd-Q does not quit application
476,enhancement;feature parity,GtkBackend,repro-p7,0,2026-03-06,The List control starts with the first item already selected on the GTK Backend
473,bug,AppKitBackend,repro-p11,1,2026-03-06,[AppKitBackend] Compact DatePicker sizing is off with Liquid Glass
471,bug,WinUIBackend,fixed-p2,0,2026-03-05,WinUIBackend: TextEditor has thin border when not focused
470,developer experience,WinUIBackend,fixed-p4,8,2026-03-04,Regenerate WinUI bindings with latest swift-winrt
454,bug,AppKitBackend;GtkBackend,repro-p10,2,2026-02-21,"[BUG] Transparent Containers consume click events (AppKitBackend, GtkBackend)"
449,bug,WinUIBackend,fixed-p2,0,2026-02-17,Fix WinUIBackend Picker option updating code
426,bug,Gtk3Backend;GtkBackend,repro-p8,2,2026-02-07,[GtkBackend][Gtk3Backend] Horizontal ScrollView swallows scroll wheel inputs for parent vertical ScrollView
417,bug,GtkBackend,repro-p8,1,2026-02-06,[GtkBackend] Giving a ScrollView a cornerRadius does not affect its children
415,bug,core/unspecified,repro-p13,0,2026-02-06,Message list benchmark crashes with AppKitBackend
401,bug,WinUIBackend,fixed-p2,0,2026-02-04,WinUIBackend: Disable full screen button when window resizing behaviour is `disabled`
390,enhancement,GtkBackend;WinUIBackend,fixed-winui-p2;open-gtk,4,2026-01-22,[GTK][WinUI] Disabled buttons don't appear disabled
389,bug;feature parity,GtkBackend;WinUIBackend,fixed-winui-p3;open-gtk,1,2026-01-22,[GTK][WinUI] Images aren't clipped
324,bug,UIKitBackend,repro-p14,0,2026-01-08,UIKitBackend: Content gets given incorrect size proposal on orientation change
295,feature parity,GtkBackend,repro-p9,0,2026-01-01,Gtk[3]Backend: Clip Text when necessary to reach zero width
291,bug,core/unspecified,repro-p13,0,2025-12-29,NavigationSplitView: Fix minimum width sizing
254,bug,UIKitBackend,repro-p14,0,2025-11-28,UIKitBackend: Update app background colour when system theme changes
204,enhancement,WinUIBackend,fixed-p2,4,2025-06-27,WinUIBackend: Update to latest stable WinUI
190,enhancement,WinUIBackend,fixed-p4,0,2025-06-23,WinUIBackend: Store callbacks in subclasses instead of global hashmaps
158,bug;enhancement;layout,core/unspecified,repro-p13,0,2025-05-20,Fix Group behaviour in ZStacks
156,feature,WinUIBackend,fixed-p4,3,2025-05-16,Needs for WinUI
82,bug,AppKitBackend,repro-p11,0,2024-04-08,[AppKitBackend] Stop sliders jittering in RandomNumberGeneratorExample
707,untriaged,core/unspecified,unaddressed,1,2026-08-12,Win32Backend
706,untriaged,core/unspecified,unaddressed,0,2026-08-11,Update PickerStyle documentation to reference AndroidBackend
702,untriaged,core/unspecified,unaddressed,0,2026-08-08,Older Gtk4 Version breaks Button Label centering for slim Text labels
695,untriaged,core/unspecified,unaddressed,0,2026-08-04,"AppKitBackend: NSString.boundingRect treats 0 as unbounded, size(of:proposedWidth:) expects it to be ""minimum-width"" not greedy"
694,untriaged,core/unspecified,unaddressed,0,2026-08-04,LayoutSystem: sequential equal-split on commit-phase redistribution truncates later stack children
692,untriaged,core/unspecified,unaddressed,0,2026-08-03,"Table bodies should auto-size, not clip (unimplemented case)"
688,untriaged,core/unspecified,unaddressed,2,2026-08-01,Add ComboBox View
687,untriaged,core/unspecified,unaddressed,1,2026-08-01,Feature Proposal: render swift-cross-ui components in Xcode Previews
684,untriaged,core/unspecified,unaddressed,5,2026-08-01,AppKitBackend dimensions test fails on macOS 26+: hardcoded expectation pins NSButton intrinsic metrics
674,untriaged,core/unspecified,unaddressed,0,2026-07-13,Add AndroidBackend to hosted documentation
671,untriaged,core/unspecified,unaddressed,1,2026-07-11,"@Entry macro expansion fails on Ubuntu 26.04 with ""extensions must not contain stored properties"" (works fine on Ubuntu 24.04, identical toolchain)"
645,bug,core/unspecified,unaddressed,3,2026-06-22,Make new buttons match underlying platforms (#590 continuation)
639,untriaged,core/unspecified,unaddressed,0,2026-06-13,Gaps between adjacent views on Android
636,untriaged,core/unspecified,unaddressed,0,2026-06-11,Add support for Swift/C++ enabled projects.
