action,x,y,origin,button,key,micros,note,platform
# P23 #125 on iOS: the tap direction, which needs its own capture.
#
# **The app's log file does not exist on iOS.** `P23Diagnostics.write` appends
# to `p23-debug-events.log` in the current directory, and inside a simulator
# container that write does not land; the simulator log carries no app stdout
# either. Measured 2026-09-16: no such file under CoreSimulator/Devices after a
# full run. So on iOS the verdict is read off the SCREEN, and a screen shows
# one state -- which is why the two directions are two files here and one file
# on macOS.
#
# **The band must MOVE, not merely be present.** Selecting row 2 first and then
# tapping row 5 is what rules out the reading a single tap cannot rule out: a
# band already sitting under the pointer proves nothing about the tap. The
# readout must go from "selected row: 2" to "selected row: 4" and the highlight
# from the third row to the fifth.
#
# Coordinates as in P23-row-selection.csv, measured from the same capture.
#
# P23 #125 在 iOS 上:點擊那個方向,它需要自己的一張擷圖。
#
# **這個 app 的 log 檔在 iOS 上並不存在。** `P23Diagnostics.write` 會往當前目錄的
# `p23-debug-events.log` 附加內容,而在模擬器沙箱容器內那次寫入不會落地;模擬器的 log 也不帶
# app 的 stdout。2026-09-16 量過:完整跑完一輪後,CoreSimulator/Devices 底下找不到該檔案。
# 因此在 iOS 上,判決是從**畫面**讀的,而一個畫面只呈現一個狀態——那正是為何這兩個方向在此處是
# 兩個檔案、在 macOS 上是一個檔案。
#
# **色帶必須「移動」,而不只是「存在」。** 先選第 2 列、再點第 5 列,排除的正是單獨一次點擊排除不了的
# 讀法:一道本來就坐在指標下的色帶,對那次點擊什麼也證明不了。讀數必須由「selected row: 2」變成
# 「selected row: 4」,而高亮必須由第三列移到第五列。
#
# 座標同 P23-row-selection.csv,量自同一張擷圖。
sleep,,,,,,900000,let the scene settle,ios
click,66,317,client,left,,,Select row 2 first -- put the band somewhere the tap must move it from,ios
sleep,,,,,,800000,let the band be drawn on the third row,ios
click,100,492,client,left,,,row 5 -- the band must move here and the readout must read 4,ios
sleep,,,,,,900000,let the layout pass move the band before the capture,ios
