action,x,y,origin,button,key,micros,note,platform
# Measured 2026-09-02 from testapp/output/screenshots/<pn>-ios-final-20260902-*.png
# Device: iPhone 16 simulator (IOS_SIM_DEVICE=swift-cross-ui) -- window 393 x 852 pt.
# Capture was 1179 x 2556 px, i.e. 3:1. Every coordinate below is px/3, in points,
# which is what the XCUITest runner normalises against window.frame.
# UNVERIFIED: coordinates were read off a capture of the running app; no row here
# has been replayed and seen to have the effect it predicts.
#
# P19: opens the menu and stops. The menu is presented above the app so its item
# positions were not in the capture; a second file can add them once one run has
# recorded where UIKitBackend puts them.
click,77,394,client,left,,,Open the menu -- a menu must appear and "last action" may stay unchanged,ios
sleep,,,,,,1000000,let the menu present,ios
