action,x,y,origin,button,key,micros,note,platform
# Measured 2026-09-02 from testapp/output/screenshots/<pn>-ios-final-20260902-*.png
# Device: iPhone 16 simulator (IOS_SIM_DEVICE=swift-cross-ui) -- window 393 x 852 pt.
# Capture was 1179 x 2556 px, i.e. 3:1. Every coordinate below is px/3, in points,
# which is what the XCUITest runner normalises against window.frame.
# UNVERIFIED: coordinates were read off a capture of the running app; no row here
# has been replayed and seen to have the effect it predicts.
#
# P36: the Picker opens a presented list on iOS whose rows were not in the
# capture; the file taps it and stops there rather than guessing at an option
# position. The button and the spacing control below it are pressed first so the
# replay still records something if the picker swallows what follows.
click,89,341,client,left,,,String label button -- it must respond,ios
sleep,,,,,,400000,let the app react,ios
click,150,424,client,left,,,next -- Int spacing must change away from 8,ios
sleep,,,,,,400000,let the layout settle,ios
click,49,267,client,left,,,the Vanilla picker -- a selection list must appear,ios
sleep,,,,,,1000000,let the picker present,ios
