action,x,y,origin,button,key,micros,note,platform
# P24 on Windows, GtkBackend: push three levels, and click a control outside the
# stack while it is three deep.
#
# The filename says "one level" and is now wrong. It is kept because two other
# documents cite it by name, and a file that answers to its citations is worth
# more than one with a tidy name -- see the history below for why one level was
# ever the finding.
#
# Verified 2026-08-27 on a 1920x1080 display at 100%, GtkBackend `-gtk4`. After
# this file the app reads:
#
#   pushes recorded (outside the stack) -> 1
#   counter -> 1
#   Level 3 / Pushed to level 3.
#
# P24 於 Windows、GtkBackend：推入三層，並在已深入三層時點擊堆疊之外的控制項。
#
# 檔名寫著「one level」，現已不符。保留它是因為另有兩份文件以此名引用；一個「叫得出引用名」的檔案，
# 價值高於一個名字漂亮的檔案——為何當初只有一層算是發現，見下方沿革。
#
# 於 2026-08-27、1920x1080 顯示器、縮放 100%、GtkBackend `-gtk4` 驗證。執行本檔後 app 顯示上方三行。
#
# ---------------------------------------------------------------------------
# HISTORY, kept deliberately / 沿革，刻意保留
#
# 2026-08-26, WRONG. This file used to push one level and stop, and said so as a
# finding: "after the push, a click anywhere in this window stops arriving."
# Measured twice, with the out-of-stack "Increment counter" button as the proof.
#
# 2026-08-27, CORRECTED. It was a coordinate difference. Pushing a level re-laid
# out the whole window and the controls outside the stack moved with it, so the
# clicks were landing on empty space. Recorded as #57 and fixed in 455d735e,
# "SwiftCrossUI: a NavigationStack push no longer moves everything around it".
#
# 2026-08-27, RE-DRIVEN here, and both halves now hold on Windows itself rather
# than by analogy with WSL:
#
#   - With the fix in, "Increment counter" is at (101,206) at level 0 and at
#     (101,206) at level 3. It does not move. Row 7 below clicks it while three
#     deep and `counter -> 1` afterwards, which is the retraction measured on
#     the platform the wrong finding was made on.
#   - Three pushes in one file work. The first pass never got past one.
#
# What made the original wrong is worth stating once more, because the method
# was right and its application was not: the coordinates were taken from a
# capture of the app before the push, not after.
#
# 2026-08-26，錯誤。本檔原本只推入一層便停止，並將此當作發現：「推入之後，這個視窗內任何位置的
# 點擊都不再送達。」以堆疊之外的「Increment counter」按鈕為證，實測兩次。
#
# 2026-08-27，更正。那是座標差異。推入一層會使整個視窗重新排版，堆疊之外的控制項也隨之移動，
# 因此點擊落在空白處。記錄為 #57，並由 455d735e 修正。
#
# 2026-08-27，於此重新驅動，兩半結論現在都成立於 Windows 本身，而非藉由與 WSL 的類比：
#
#   - 修正之後，「Increment counter」在 level 0 位於 (101,206)，在 level 3 也位於 (101,206)，
#     並未移動。下方第 7 列在已深入三層時點擊它，之後 `counter -> 1`——這正是在「當初做出錯誤
#     發現的那個平台」上量得的撤回證據。
#   - 單一檔案推入三層可行。第一輪從未超過一層。
#
# 原始判斷之所以錯，值得再說一次：方法是對的，套用方法時出了錯——座標取自推入「之前」的截圖。
#
# ---------------------------------------------------------------------------
# Coordinates / 座標
#
# `frame` origin, measured on a 748x598 `screenshot.zsh -w` capture, at 100%
# display scale, so the pixels are used as they were read. See
# testapp/actions/win/README.md for why the 125% files divided and these do not.
#
# The stack's own buttons DO move between level 0 and level 1 -- (353,401)
# becomes (367,426) -- because the "< Back" bar appears above the pane. From
# level 1 onwards they stay put, which is why rows 3 and 5 share a coordinate.
#
# 使用 `frame` 原點，量測自一張 748x598 的 `screenshot.zsh -w` 截圖，顯示縮放為 100%，因此像素
# 值即照量到的數字使用。125% 時期的檔案為何要相除、這些檔案為何不必，見
# testapp/actions/win/README.md。
#
# 堆疊「自己的」按鈕在 level 0 與 level 1 之間**確實**會移動——(353,401) 變成 (367,426)——因為
# 面板上方多出了「< Back」列。從 level 1 之後便固定不變，這就是第 3 列與第 5 列共用同一座標的原因。
click,353,401,frame,left,,,push level 1 -- the link at level 0,windows
sleep,,,,,,1000000,let the push settle,windows
click,367,426,frame,left,,,push level 2 -- the link at level 1,windows
sleep,,,,,,1000000,,windows
click,367,426,frame,left,,,push level 3 -- same place as level 1,windows
sleep,,,,,,1000000,,windows
click,101,206,frame,left,,,increment counter -- OUTSIDE the stack while three deep,windows
sleep,,,,,,600000,,windows
click,374,466,frame,left,,,record a push -- the plain button at level 3,windows
sleep,,,,,,1500000,hold for the capture,windows
