action,x,y,origin,button,key,micros,note,platform
# Measured 2026-09-02 from testapp/output/screenshots/<pn>-ios-final-20260902-*.png
# Device: iPhone 16 simulator (IOS_SIM_DEVICE=swift-cross-ui) -- window 393 x 852 pt.
# Capture was 1179 x 2556 px, i.e. 3:1. Every coordinate below is px/3, in points,
# which is what the XCUITest runner normalises against window.frame.
#
# REPLAYED AND VERIFIED 2026-09-02: the stepper read "value 1" after plus plus
# minus and the disclosure button read "Show details" with its paragraph gone.
#
# Stepper and DisclosureGroup do not exist in SwiftCrossUI yet; this app draws
# approximations of them and the rows press the approximations.
#
# RE-MEASURED 2026-09-08. The coordinates below replaced ones measured
# 2026-09-02 that the layout has since moved out from under: every click in the
# old file landed on blank space, so the replay succeeded, the app ignored it,
# and the screen afterwards was byte-identical to a control run that pressed
# nothing. That reads as a framework defect and is not one.
#
# Measured from the effect sweep's own control capture, which is the app's
# initial state on the current build, so the coordinate and the screen it was
# taken from are the same picture.
#
# 2026-09-08 重新量測。下方座標取代的是 2026-09-02 所量、而版面此後已從其下移開的那一組:舊檔中
# 每一次點擊都落在空白處,於是重放成功、app 忽略它,而其後的畫面與「什麼都不按的對照執行」逐位元組
# 相同。那讀起來像是框架缺陷,但它不是。
#
# 量測自 effect sweep 自身的 control 擷取,那是目前這個 build 上該 app 的初始狀態,因此座標與
# 「取得它的那張畫面」是同一張。
click,134,448,client,left,,,plus -- value must go 0 -> 1,ios
sleep,,,,,,400000,let the label redraw,ios
click,134,448,client,left,,,plus again -- value must go 1 -> 2,ios
sleep,,,,,,400000,let the label redraw,ios
click,36,448,client,left,,,minus -- value must come back to 1 (VERIFIED),ios
sleep,,,,,,400000,let the label redraw,ios
click,64,528,client,left,,,Hide details -- the paragraph must go and the button must read Show details (VERIFIED),ios
sleep,,,,,,500000,let the layout settle,ios
