date_tested,mode,resolution,target_fps,measured_fps,frames_dropped_per_sec,read_avg_ms,present_avg_ms,seconds,ffmpeg_args
2026-08-12,default,1080p,30,28.8,1.0,2.4,0.1,20,"-nostdin -hide_banner -loglevel error -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=30,scale=1920:1080:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=1920:1080:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,amd,1080p,30,28.5,1.0,1.7,0.2,20,"-nostdin -hide_banner -loglevel error -hwaccel d3d11va -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=30,scale=1920:1080:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=1920:1080:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,nvidia,1080p,30,26.6,2.9,2.5,0.1,20,"-nostdin -hide_banner -loglevel error -hwaccel cuda -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=30,scale=1920:1080:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=1920:1080:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,both-gpu,1080p,30,28.0,1.4,2.5,0.1,20,"-nostdin -hide_banner -loglevel error -hwaccel cuda -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=30,scale=1920:1080:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=1920:1080:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,no-gpu,1080p,30,29.2,0.7,2.2,0.1,20,"-nostdin -hide_banner -loglevel error -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=30,scale=1920:1080:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=1920:1080:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,default,1080p,60,50.0,9.6,2.0,0.1,20,"-nostdin -hide_banner -loglevel error -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=1920:1080:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=1920:1080:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,amd,1080p,60,49.5,9.2,2.7,0.1,20,"-nostdin -hide_banner -loglevel error -hwaccel d3d11va -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=1920:1080:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=1920:1080:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,nvidia,1080p,60,50.5,8.6,2.9,0.1,20,"-nostdin -hide_banner -loglevel error -hwaccel cuda -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=1920:1080:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=1920:1080:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,both-gpu,1080p,60,50.8,7.9,2.5,0.0,20,"-nostdin -hide_banner -loglevel error -hwaccel cuda -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=1920:1080:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=1920:1080:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,no-gpu,1080p,60,49.5,10.1,1.9,0.0,20,"-nostdin -hide_banner -loglevel error -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=1920:1080:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=1920:1080:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
