action,x,y,origin,button,key,micros,note,platform
# Measured 2026-09-02 from testapp/output/screenshots/<pn>-ios-final-20260902-*.png
# Device: iPhone 16 simulator (IOS_SIM_DEVICE=swift-cross-ui) -- window 393 x 852 pt.
# Capture was 1179 x 2556 px, i.e. 3:1. Every coordinate below is px/3, in points,
# which is what the XCUITest runner normalises against window.frame.
# UNVERIFIED: coordinates were read off a capture of the running app; no row here
# has been replayed and seen to have the effect it predicts.
#
# P11: drawn shifted left; the first slider row and the Separate them button are
# partly off-screen. Collide them and Reference are fully visible.
click,141,442,client,left,,,Collide them -- the two sliders must overlap and both must stay usable,ios
sleep,,,,,,400000,let the layout settle,ios
click,197,693,client,left,,,Reference -- the date picker row must show its reference sizing,ios
sleep,,,,,,500000,let the row settle,ios
