action,x,y,origin,button,key,micros,note,platform
# Measured 2026-09-02 from testapp/output/screenshots/<pn>-ios-final-20260902-*.png
# Device: iPhone 16 simulator (IOS_SIM_DEVICE=swift-cross-ui) -- window 393 x 852 pt.
# Capture was 1179 x 2556 px, i.e. 3:1. Every coordinate below is px/3, in points,
# which is what the XCUITest runner normalises against window.frame.
# UNVERIFIED: coordinates were read off a capture of the running app; no row here
# has been replayed and seen to have the effect it predicts.
#
# P4: the top button strip is clipped on both sides here ("...ver rows" on the
# left) so only the per-row Run buttons and Load next rows are measured.
click,55,401,client,left,,,Run 0 -- "Selected row: none" must become row 0,ios
sleep,,,,,,400000,let the banner redraw,ios
click,54,450,client,left,,,Run 1 -- selected row must become 1,ios
sleep,,,,,,400000,let the banner redraw,ios
click,81,341,client,left,,,Load next rows -- the visible range must extend past 0-49,ios
sleep,,,,,,500000,let the rows load,ios
