action,x,y,origin,button,key,micros,note,platform
# P46 on Windows, WinUIBackend: the same three numbers as the GTK file, on the
# other Windows backend.
#
# expect: log-contains model.count=1 constructions=1
#
# EVIDENCE FOR THAT MARKER, and this is the file the evidence actually belongs
# to: testapp/output/p46-debug-events.log holds `model.count=1 constructions=1`
# at 2026-09-04 15:05:50 and `model.count=2 constructions=1` at 15:05:52, and
# that run's own first line reads `backend WinUIBackend`. The two-second gap is
# this file's 1.2 s sleep plus the clicks. The five .onAppear lines above them
# are what testapp/p46-debug-events.log holds alone from a launch with no action
# file, so the `model.count=` lines are written by "Increment model" and by
# nothing else.
#
# THE FIRST PRESS AND NOT THE SECOND, for the same reason as the GTK file: `=2`
# is the stronger claim and needs both clicks, `=1` reports met as soon as the
# button works, and the capture still carries the two-press reading.
#
# NOTE FOR WHOEVER DRIVES THIS. sweep_drive.zsh skips every `-winui` file --
# their coordinates were measured against WinUI's window and it drives the gtk4
# builds -- so this marker is only exercised by a run that names the file
# explicitly. It is written here anyway: the fact belongs to the file, not to
# whichever harness happens to read it.
#
# 該標記的證據，而這個檔案才是該證據真正的歸屬：testapp/output/p46-debug-events.log 於
# 2026-09-04 15:05:50 有 `model.count=1 constructions=1`、15:05:52 有
# `model.count=2 constructions=1`，且該次執行的第一行寫的是 `backend WinUIBackend`。兩秒的間隔
# 就是本檔的 1.2 秒 sleep 加上點擊。其上那五行 .onAppear 內容，正是
# testapp/p46-debug-events.log 在一次沒有動作檔的啟動中僅有的全部，因此 `model.count=` 那幾行
# 只可能由「Increment model」寫出。
#
# 採第一次按下而非第二次，理由與 GTK 檔相同：`=2` 是更強的主張、需要兩次點擊都命中，`=1` 只要
# 按鈕能動就回報達成，而兩次按下的讀數仍然留在擷圖上。
#
# 給驅動本檔者的提醒：sweep_drive.zsh 會略過每一個 `-winui` 檔案——它們的座標是對著 WinUI 的視窗
# 量的，而該腳本驅動的是 gtk4 建置——因此這個標記只有在明確指名本檔的執行中才會被檢驗。這裡仍然
# 寫上它：這項事實屬於這個檔案，而不屬於恰好讀它的那個工具。
#
# WHY A SECOND FILE RATHER THAN A SECOND COORDINATE IN THE FIRST. The two
# backends lay the same view tree out differently and give the window different
# chrome. Measured 2026-09-04: the GTK window frame is 888x729 and the WinUI one
# 876x739, and "Increment model" sits at 91,586 on GTK against 81,527 here. The
# GTK file was run against this binary first and the click landed on nothing --
# the replay reported the window and the move, and no log line followed, because
# a click that hits nothing raises nothing. Naming follows
# P24-push-one-level-winui.csv, which exists for the same reason.
#
# WHAT IT PROVES, and it is not the same thing the GTK file proves. The views
# under test are composed entirely from existing primitives -- HStack, VStack,
# Button, Text, Spacer, ProgressView, ScrollView -- so the claim is that they
# cannot be "implemented on one backend but not another". That claim is about
# TWO backends at least, and one measurement cannot support it. This file is the
# second measurement.
#
#   model.count = 1 then 2            the @Published property published
#   observed child sees count = 1,2   @ObservedObject reached a CHILD view that
#                                     shares no @State with its parent
#   P46Model constructions: 1         @StateObject did not rebuild the model
#
# The construction count is again the only one that needs the click: @State and
# @StateObject both show 1 on the first frame, and only diverge once an update
# happens.
#
# COORDINATES ARE FRAME-RELATIVE, measured from
# output/screenshots/p46-winui-20260904-230435.png, an 876x739 wincap capture
# INCLUDING the title bar. The button spans roughly x 20..142, y 512..542;
# 81,527 is its centre.
#
# P46 於 Windows、WinUIBackend：與 GTK 版動作檔相同的三個數字，在另一個 Windows backend 上。
#
# 為何另立一檔而非在原檔中多加一組座標。兩個 backend 對同一棵 view tree 的排版不同，視窗外框也
# 不同。2026-09-04 實測：GTK 的視窗外框為 888x729，WinUI 為 876x739；「Increment model」在 GTK
# 上位於 91,586，在此則為 81,527。GTK 版動作檔曾先對此 binary 執行過，點擊落在空處——replay 有
# 回報視窗與移動，其後沒有任何 log 行，因為一次沒有命中的點擊不會引發任何東西。命名沿用
# P24-push-one-level-winui.csv，其存在理由相同。
#
# 它證明什麼，而那與 GTK 版所證明的並不相同。受測的這些 view 完全由既有原語組合而成——HStack、
# VStack、Button、Text、Spacer、ProgressView、ScrollView——因此主張是「它們不可能在某個 backend
# 上實作了、在另一個上沒有」。該主張**至少關於兩個 backend**，而單一次量測支撐不了它。本檔案就是
# 第二次量測。
#
# 建構次數同樣是唯一需要點擊才能分辨的一項：@State 與 @StateObject 在第一幀都顯示 1，只有在發生
# 更新之後才會分歧。
#
# 座標以 frame 為基準，量自 output/screenshots/p46-winui-20260904-230435.png，那是一張
# 876x739、**含標題列**的 wincap 擷圖。該按鈕範圍約 x 20..142、y 512..542，81,527 為其中心。
sleep,,,,,,900000,let the window settle and take focus,windows
click,81,527,frame,left,,,"centre of the ""Increment model"" button (x 20..142 y 512..542) -- expect model.count = 1 and observed child sees count = 1, with constructions still 1 (VERIFIED 2026-09-04: log line model.count=1 constructions=1)",windows
sleep,,,,,,1200000,let the log catch up and hold the frame for the capture,windows
click,81,527,frame,left,,,"second press: the counts must reach 2 while constructions stays 1 -- one press could be a coincidence of initial state, two cannot (VERIFIED 2026-09-04: log line model.count=2 constructions=1, byte-identical to the GTK run, and the capture shows all three lines -- output/screenshots/p46-winui-verified-20260904-230614.png)",windows
sleep,,,,,,1500000,final hold so the capture and the log both observe the settled state,windows
