action,x,y,origin,button,key,micros,note,platform
# P23 #125 on Android: the tap direction, which needs its own capture.
#
# **The band must MOVE, not merely be present.** Selecting row 2 first and then
# tapping the ID-2 row rules out what a single tap cannot: a band already
# sitting where the finger went proves nothing about the finger. The readout
# must go from "selected row: 2" to "selected row: 1", and the highlight from
# the ID-3 row -- the tall one whose cell wraps to nine lines -- up to the
# ID-2 row.
#
# `onTouchEvent` has to consume ACTION_DOWN for this to work at all. Android
# sends the rest of a gesture to whoever accepted its first event, so declining
# the press and waiting for the release is the shape that produces a table
# nothing can select -- and it fails silently, with a correct-looking listener
# that is simply never reached.
#
# Coordinates as in P23-row-selection.csv, from the same uiautomator dump.
#
# P23 #125 在 Android 上:點擊那個方向,它需要自己的一張擷圖。
#
# **色帶必須「移動」,而不只是「存在」。** 先選第 2 列、再點 ID-2 那一列,排除的正是單獨一次點擊
# 排除不了的事:一道本來就坐在手指落點上的色帶,對那根手指什麼也證明不了。讀數必須由
# 「selected row: 2」變成「selected row: 1」,而高亮必須由 ID-3 那一列——cell 折成九行的那一列高列
# ——往上移到 ID-2 那一列。
#
# `onTouchEvent` 必須消費掉 ACTION_DOWN,這件事才可能成立。Android 會把一個手勢的其餘部分送給
# 「接受了它第一個事件」的那一方,因此拒絕了按下、再等著放開,正是那種「什麼都選不動的表格」的形狀
# ——而它會無聲地失敗:一個看起來完全正確的 listener,只是永遠到不了。
#
# 座標同 P23-row-selection.csv,取自同一次 uiautomator dump。
sleep,,,,,,900000,let the table settle,android
click,78,339,,left,,,Select row 2 first -- put the band on the ID-3 row,android
sleep,,,,,,900000,let the band be drawn there,android
click,120,517,,left,,,the ID-2 row -- index 1; the band must move up here and the readout must read 1,android
sleep,,,,,,1000000,let the invalidate reach the screen before the capture,android
