action,x,y,origin,button,key,micros,note,platform
# STALE, 2026-08-27. Its coordinates were measured at 125% display scale and the
# machine is now at 100%, so every click here misses. It is kept, unfixed, for
# one reason: README.md cites it as the example of two backends needing
# different coordinates for the same app and the same click, and deleting it
# would leave that citation pointing at nothing.
#
# Re-measure before running it. Do not multiply by 1.25 -- the sweep that
# re-measured every other file in this folder deliberately did not, because a
# factor is easy to apply twice or to the wrong axis and the result looks
# exactly like a miss caused by anything else.
#
# 已過期，2026-08-27。其座標量測於 125% 顯示縮放，而本機現已改為 100%，因此此處每一次點擊都會落空。
# 保留且不修正，理由只有一個：README.md 引用它作為「同一支 app、同一次點擊，兩個 backend 需要不同
# 座標」的範例，刪掉它會使該引用指向不存在的東西。
#
# 執行前請重新量測。不要乘以 1.25——重新量測本資料夾其他每個檔案的那一輪刻意沒有這麼做，因為乘法
# 係數很容易乘兩次或乘錯軸，而結果看起來與任何其他原因造成的落空一模一樣。
# P24 on Windows, WinUIBackend. The GtkBackend file for the same app and the
# same first click is `P24-push-one-level.csv`, and its coordinates are
# different -- that is the reason this file exists separately rather than the
# two being merged.
#
# Verified 2026-08-27: the click pushes, the pane reads "Level 1 / Pushed to
# level 1.", and a desktop capture confirms it.
#
# Measured (417,526) on a desktop capture with the window frame at (40,36), so
# (377,490) physical, and (302,392) after dividing by the 125% display scale.
#
# What it was written for: settling whether the relayout that moves the
# out-of-stack controls is GtkBackend's doing or SwiftCrossUI's. It is
# SwiftCrossUI's -- WinUI moves them the same way, from ~305px inside the frame
# at level 0 to ~22px at level 1, and draws the same full-width rule the app
# never declared. See #57.
#
# P24 於 Windows，WinUIBackend。同一支 app、同一個第一次點擊的 GtkBackend 版本是
# `P24-push-one-level.csv`，而兩者座標並不相同——這正是本檔獨立存在、而非與該檔合併的理由。
#
# 已於 2026-08-27 驗證：該次點擊確實推入，面板顯示「Level 1 / Pushed to level 1.」，並有桌面截圖
# 佐證。
#
# 量測方式：在桌面截圖上量得 (417,526)，視窗 frame 位於 (40,36)，因此為 (377,490) 實體像素，再除以
# 125% 的顯示縮放得到 (302,392)。
#
# 撰寫此檔的目的：釐清「移動堆疊外控制項的重新排版」究竟出自 GtkBackend 還是 SwiftCrossUI。答案是
# SwiftCrossUI——WinUI 以相同方式移動它們（level 0 時距 frame 左緣約 305px，level 1 時約 22px），
# 並且畫出同一條 app 從未宣告過的全寬分隔線。詳見 #57。
click,332,392,frame,left,,,push level 1 -- STALE 125% coordinate,windows
sleep,,,,,,900000,let the relayout settle,windows
