action,x,y,origin,button,key,micros,note,platform
# Measured 2026-09-02 from testapp/output/screenshots/<pn>-ios-final-20260902-*.png
# Device: iPhone 16 simulator (IOS_SIM_DEVICE=swift-cross-ui) -- window 393 x 852 pt.
# Capture was 1179 x 2556 px, i.e. 3:1. Every coordinate below is px/3, in points,
# which is what the XCUITest runner normalises against window.frame.
# UNVERIFIED: coordinates were read off a capture of the running app; no row here
# has been replayed and seen to have the effect it predicts.
#
# P18: one tap. As with P1 the dialog is a presented controller and this runner
# has no way to dismiss one -- there is no key row on iOS and no measured
# coordinate for a sheet that did not exist at capture time.
click,59,371,client,left,,,Open a file -- the line below must stop reading "open -> nothing yet",ios
sleep,,,,,,1000000,let the presentation animate in,ios
