action,x,y,origin,button,key,micros,note,platform
# P19 on Windows, GtkBackend: open the flat menu and press each item kind that
# can be pressed.
#
# Verified 2026-08-27 at 100% display scale. After this file the app reads
# `last action -> second button item` and `toggle item -> true`.
#
# The toggle result is worth stating because the popover gives no sign of it:
# a desktop capture of the open menu draws "Toggle item" as a plain label with
# no check mark and no checkbox, before or after. The state reaches the app
# anyway. So on GtkBackend a menu Toggle works and does not *show* -- which
# means the only way to test it is a line the app prints, exactly as this app
# does.
#
# P20's level-3 toggle, in a nested menu, did NOT change its binding under the
# same treatment. One works and one does not, so the difference is nesting
# rather than Menu + Toggle in general.
#
# P19 於 Windows、GtkBackend：開啟扁平選單，並按下每一種「可被按下」的項目。
#
# 於 2026-08-27、顯示縮放 100% 驗證。執行後 app 顯示 `last action -> second button item` 與
# `toggle item -> true`。
#
# toggle 的結果值得特別說明，因為 popover 完全沒有顯示它：開啟中選單的桌面截圖把「Toggle item」
# 畫成一個沒有勾選標記、也沒有核取方塊的普通標籤，點擊前後皆然。狀態卻確實抵達了 app。因此在
# GtkBackend 上，選單中的 Toggle 會運作但不會**顯示**——這代表唯一能測它的方式，就是 app 自己
# 印出的一行字，正如本 app 所做的。
#
# P20 位於巢狀選單中的第三層 toggle，在同樣的處理下**沒有**改變其 binding。一個可用、一個不可用，
# 因此差別在於巢狀，而非「Menu + Toggle」本身。
#
# `frame` origin, not `client`. testapp/screenshot.zsh -w captures the window
# including its title bar, so a pixel measured on that image is a frame
# coordinate.
#
# 使用 `frame` 原點而非 `client`。testapp/screenshot.zsh -w 擷取的視窗含標題列，因此在該影像上
# 量到的像素就是 frame 座標。
#
# ---------------------------------------------------------------------------
# The popover is measured on a DESKTOP capture, not a window one.
#
# A GTK popover on Windows is its own top-level window and is absent from a
# `-w` capture of "P19 flat menus", which reads exactly like a click that
# missed. So the menu rows here were read off a desktop capture taken while the
# popover was open, and converted to frame coordinates by subtracting the
# window's own origin -- itself found by locating "Open the menu", whose frame
# position (96,225) is known from the window capture.
#
# The window does not sit in the same place on every launch: three probes put
# its origin at (104,104), (130,130) and (157,156). The row offsets relative to
# the window were identical in all three, which is what makes a frame
# coordinate usable at all.
#
# ---------------------------------------------------------------------------
# popover 是在**桌面**截圖上量測的，而非視窗截圖。
#
# Windows 上的 GTK popover 是自己的 top-level 視窗，不會出現在「P19 flat menus」的 `-w` 擷取中，
# 那看起來與「點擊落空」一模一樣。因此此處的選單各列是在 popover 開啟時取得的桌面截圖上讀取，
# 再減去視窗自身原點換算為 frame 座標——而該原點是靠定位「Open the menu」求得的，其 frame 位置
# (96,225) 已由視窗擷取得知。
#
# 視窗每次啟動的位置並不相同：三次探測得到的原點分別是 (104,104)、(130,130) 與 (157,156)。三次之中
# 各列相對於視窗的位移完全一致——正是這一點讓 frame 座標得以成立。
#
# Menu rows, in frame coordinates / 選單各列的 frame 座標:
#   Button item            265
#   Text item, not clickable  295
#   Toggle item            337
#   Second button item     367
click,96,225,frame,left,,,open the menu,windows
sleep,,,,,,1200000,let the popover appear,windows
click,127,265,frame,left,,,press Button item,windows
sleep,,,,,,1000000,let last action update,windows
click,96,225,frame,left,,,reopen -- activating an item closed it,windows
sleep,,,,,,1200000,,windows
click,127,337,frame,left,,,press Toggle item -- see the note above,windows
sleep,,,,,,1000000,,windows
click,96,225,frame,left,,,reopen,windows
sleep,,,,,,1200000,,windows
click,127,367,frame,left,,,press Second button item,windows
sleep,,,,,,2000000,hold for the capture,windows
